nombre,frec
JORGE ALBERTO,2253
DONATO,2246
JUAN SALVADOR,2243
IULIAN,2237
JESUS DAVID,2234
NARCIS,2231
RAFAEL ANGEL,2230
ANXO,2227
BALBINO,2227
TARIK,2227
JUAN DANIEL,2226
LLUC,2226
MANUEL LUIS,2226
VICENTE MANUEL,2216
AUREL,2200
SORIN,2200
CARLOS EDUARDO,2197
ANDRES FELIPE,2195
FERNANDO MANUEL,2195
ILIE,2189
OLEKSANDR,2186
CRESCENCIO,2179
IGNACIO JAVIER,2179
MIGUEL JOSE,2175
AMANCIO,2166
ZACARIAS,2162
ABRAHAN,2156
JESUS FRANCISCO,2150
EDER,2148
EMIL,2141
FARID,2141
SEBASTIA,2138
EL HASSAN,2135
RAFAEL JESUS,2134
AYMAN,2125
JUAN JAVIER,2119
DIEGO JESUS,2118
FRANCISCO PAULA,2116
OSCAR LUIS,2111
REMIGIO,2103
FOUAD,2102
JOSEP LLUIS,2099
JOSE SALVADOR,2097
MANUEL RAMON,2094
JOSE PASCUAL,2088
VICTORIO,2087
JONAY,2085
MANUEL ENRIQUE,2081
JULIO ANTONIO,2066
EKAITZ,2064
DIEGO FERNANDO,2055
WALTER,2054
AURELIANO,2052
ANTONIO CARLOS,2049
ABDELKARIM,2048
OSCAR MANUEL,2044
RICARDO JOSE,2028
PERFECTO,2027
CARLOS MARIA,2023
LUIS JESUS,2016
FRANCISCO GABRIEL,2012
JORGE ENRIQUE,1991
BUENAVENTURA,1987
TIMOTEO,1983
UNAX,1980
JOSEP M,1977
ANTONIO JUAN,1975
RAFAEL JOSE,1972
HERNAN,1965
PATRICK,1965
VICTOR JAVIER,1963
MUSTAFA,1958
ANGEL MIGUEL,1953
EGOITZ,1952
JOSE ROBERTO,1951
ROMUALDO,1949
CIRILO,1947
EMMANUEL,1943
ABDELKRIM,1933
ANTONINO,1930
IGNACIO JOSE,1929
GEORGI,1926
DAN,1914
JOKIN,1905
LUIS ALFREDO,1893
ABDELMAJID,1890
MOUNIR,1887
DIMAS,1877
CARLOS FRANCISCO,1875
ABDERRAHMANE,1870
JUAN DOMINGO,1869
PABLO JESUS,1868
VASYL,1868
FRANK,1859
FRANCISCO VICENTE,1858
LAURENTINO,1858
ALFONSO JOSE,1856
DOROTEO,1856
JESUS JOSE,1855
GIUSEPPE,1854
YAHYA,1854
CARLOS DANIEL,1833
ADAY,1830
ABDOULAYE,1827
FERNANDO JESUS,1816
ABDELALI,1814
JESUS RAMON,1811
MANUEL VICENTE,1811
EMETERIO,1807
GIL,1805
ABDELHAK,1798
JAMES,1798
ANDRIY,1796
GAEL,1790
ANGEL DAVID,1789
ANTHONY,1789
ACHRAF,1784
JOSE SANTIAGO,1783
COSME,1775
PABLO MANUEL,1774
CORNEL,1773
CATALIN,1772
MANUEL FERNANDO,1770
CARLOS DAVID,1757
ENRIQUE MANUEL,1757
YOEL,1754
ABDELGHANI,1751
FRANCESCO,1744
JAOUAD,1735
TONI,1735
DIEGO MANUEL,1733
JESUS IGNACIO,1731
ALVARO JOSE,1728
AMALIO,1723
DANIEL JESUS,1721
ANGEL JAVIER,1713
AMABLE,1710
LUIS RAMON,1709
ANDRE,1706
LUIS DAVID,1706
YERAI,1701
BARTOMEU,1697
JESUS CARLOS,1696
EDELMIRO,1694
ANTONIO VICENTE,1693
NIKOLAY,1689
JOSE EUGENIO,1683
WALID,1681
ANTONIO RAFAEL,1675
BELTRAN,1675
FRUCTUOSO,1672
IMAD,1672
FRANCISCO JUAN,1668
JOSE JORGE,1663
FRANCISCO RAFAEL,1661
LISARDO,1657
JUAN AGUSTIN,1656
JUAN ESTEBAN,1653
PAVEL,1653
ALEJANDRO MANUEL,1648
MANUEL ALBERTO,1640
AMIN,1637
ALFONSO CARLOS,1633
JOSE IVAN,1632
LUIS VICENTE,1629
MARCIANO,1629
MICHEL,1628
GUZMAN,1624
MARK,1623
CIRIACO,1620
LUIS ALEJANDRO,1619
ABDELHAMID,1616
FERNANDO LUIS,1616
MACARIO,1616
FACUNDO,1613
MAHAMADOU,1604
JUAN FELIPE,1600
ANDREA,1597
JOSE MARIO,1597
OUSSAMA,1596
ROLANDO,1594
LUCIAN,1590
KOLDO,1588
ANDRES JESUS,1585
JOSE GUILLERMO,1585
ULISES,1585
RAFEL,1582
JESUS LUIS,1580
MIGUEL MARIA,1579
MANUEL CARLOS,1576
ALBERTO MANUEL,1574
NATALIO,1574
ONOFRE,1571
MIRCEA,1570
HERIBERTO,1566
EVELIO,1565
FRANCISCO DANIEL,1564
JUAN MARCOS,1562
JOAN CARLES,1560
CALIXTO,1551
JOAN JOSEP,1545
JUAN TOMAS,1545
ENRIQUE JAVIER,1544
FRANCISCO ANGEL,1543
SANTIAGO JOSE,1538
PABLO JAVIER,1535
JOSHUA,1531
FREDERIC,1530
REYES,1530
JOSE FELIPE,1529
SALUSTIANO,1525
MIQUEL ANGEL,1520
SENEN,1517
JOSEPH,1515
UBALDO,1513
PAULO,1511
RAMON JOSE,1508
SERGIO MANUEL,1508
JUAN MARTIN,1499
ARIEL,1495
MIGUEL JESUS,1495
PORFIRIO,1492
AMAR,1491
DANIEL ALEJANDRO,1486
OSCAR JAVIER,1484
ABDESSAMAD,1483
FORTUNATO,1480
OUSMANE,1477
JOSE JAIME,1472
MOUSTAPHA,1465
CRISTOFER,1462
REGINO,1461
JULIO MANUEL,1458
JOSE DAMIAN,1456
AMANDO,1453
DENNIS,1452
DYLAN,1452
JOSE DIEGO,1452
AMINE,1451
LIVIU,1449
JUAN EMILIO,1441
SOUFIANE,1440
LADISLAO,1439
AIRAM,1436
ABDELHADI,1435
BOGDAN,1434
SANDRO,1433
KEPA,1432
DANUT,1429
JOSE MARIANO,1425
VIKTOR,1425
JOSEP ANTONI,1421
ROI,1420
ALBERTO JESUS,1419
RONALD,1416
DAVID JOSE,1412
RUPERTO,1409
ISIDRE,1403
AMADOU,1401
GERVASIO,1398
ALBERTO JAVIER,1394
ILIAS,1394
ATANASIO,1393
TELMO,1393
NAZARIO,1392
JOSE ESTEBAN,1388
CRUZ,1387
EL MOSTAFA,1386
NACHO,1386
DIEGO ANTONIO,1374
DANIEL JOSE,1371
JUAN FELIX,1369
CASTO,1363
MANUEL DAVID,1360
YURIY,1360
DEREK,1357
JOSEP ORIOL,1355
RAYCO,1355
EULALIO,1354
EDWIN,1352
IGNACIO MARIA,1352
ENZO,1351
HENRY,1351
EUGEN,1350
GUILLERMO JOSE,1350
JUAN CAMILO,1350
BELARMINO,1349
JESUS FERNANDO,1347
JOSE LORENZO,1347
CARLOS FERNANDO,1345
EMILI,1345
JOSE VICTOR,1343
ANDRES MANUEL,1341
CRISTINO,1341
ALFRED,1339
SERGIO JOSE,1334
CHEIKH,1331
DAVID JESUS,1331
JOAQUIN MANUEL,1331
BORIS,1330
DIMITAR,1330
TELESFORO,1330
CUSTODIO,1328
LARBI,1326
OLEG,1326
INOCENTE,1324
FRANCISCO TOMAS,1322
RAMON ANTONIO,1321
CASTOR,1320
PAOLO,1318
JESUS SALVADOR,1316
SIMEON,1315
STEVEN,1313
IOSU,1311
MYKOLA,1311
PETRE,1308
JESUS ENRIQUE,1304
ANTONIO JOAQUIN,1303
JAVIER ANTONIO,1302
ANDREAS,1299
MIGUEL FRANCISCO,1299
MAGIN,1296
ROBERTO JOSE,1296
MATEU,1295
LUIS DANIEL,1294
SERGIO ANTONIO,1291
EDUARDO MANUEL,1290
FELICISIMO,1289
PEDRO VICENTE,1288
MICHAEL JOHN,1283
JOSE BERNARDO,1281
TORIBIO,1281
PEDRO ENRIQUE,1278
ALFONS,1276
REINALDO,1275
ANGEL RAMON,1274
VICENTE RAMON,1274
TORCUATO,1271
FERNANDO ANTONIO,1269
FRANCISCO ANDRES,1269
ALFONSO JAVIER,1266
SILVINO,1263
MANUEL IGNACIO,1262
STEFANO,1258
YOUNESS,1258
JOAQUIN JOSE,1253
WILSON,1252
MIHAIL,1251
MARÇAL,1247
MANUEL MIGUEL,1246
ILYAS,1244
JOSE MARCOS,1244
PATXI,1242
JESUS VICENTE,1241
CRISTHIAN,1240
MYKHAYLO,1240
EDMUNDO,1238
FRANCISCO ALBERTO,1237
ASENSIO,1234
MANUEL JAVIER,1234
JOSE RUBEN,1232
RAFAEL MANUEL,1228
ANTONIO ENRIQUE,1225
JORGE JAVIER,1224
JEAN PIERRE,1219
ANTONIO FERNANDO,1218
ANOUAR,1217
DAVID MANUEL,1211
JAVIER JESUS,1208
ADAMA,1203
ATILANO,1203
JOAN ANTONI,1202
TEO,1202
ANDRES JOSE,1201
ANGELO,1201
EMANUEL,1197
HODEI,1196
DIEGO ALEJANDRO,1193
EFRAIN,1191
REDOUANE,1191
JUAN ALEJANDRO,1189
PEDRO IGNACIO,1189
VICTOR JESUS,1187
EMILIO JESUS,1186
ALEJANDRO JESUS,1185
DOMINGO JOSE,1185
GRIGORE,1185
JAVIER MARIA,1185
GARIKOITZ,1184
LUIS ANDRES,1183
MARIO ALBERTO,1180
CIPRIAN,1176
JORGE ANDRES,1172
RICARDO MANUEL,1172
PEDRO RAMON,1171
TEODOR,1161
CONSTANCIO,1160
JORGE MIGUEL,1159
ALEJANDRO JAVIER,1156
RAIMON,1150
ALLAL,1144
OIHAN,1143
JORDAN,1142
NOAH,1142
STEPHEN,1141
ETHAN,1140
LEOCADIO,1140
JOSE ADRIAN,1135
JAVIER IGNACIO,1133
OVIDIU,1133
JORGE EDUARDO,1132
ABDELHAFID,1131
PEDRO ALBERTO,1131
ROC,1131
JUAN LORENZO,1130
SERGEY,1130
MILOUD,1129
IHOR,1128
PABLO ANDRES,1128
DAVID JOHN,1124
PABLO LUIS,1121
EMILIO MANUEL,1117
IOSIF,1116
ANGEL GABRIEL,1114
RAFAEL FRANCISCO,1113
RAMON MARIA,1110
CASIANO,1106
RADU,1105
FRANCISCO CARLOS,1101
MOHAMED AMIN,1100
ABDUL,1098
ABDON,1097
ANDREW,1096
FRANCISCO MARIA,1092
VICTOR ANTONIO,1090
VICTOR MIGUEL,1090
AYOZE,1089
DOREL,1087
FRANCISCO JOAQUIN,1086
JOAO,1079
JHON JAIRO,1074
QUINTIN,1074
ABDELHAKIM,1073
OUMAR,1069
EUDALD,1068
HARITZ,1068
JOSE CARMELO,1068
PEDRO DAVID,1068
REDA,1065
EKAIN,1062
CARLOS GUSTAVO,1059
OSCAR JOSE,1058
VICENTE JESUS,1058
FELIX MANUEL,1057
JUSTINIANO,1057
VICENTE LUIS,1057
JENARO,1055
DAVID ALEJANDRO,1054
PAULO JORGE,1054
JORGE JOSE,1052
MARIO JOSE,1052
JAVIER JOSE,1051
LAURENTIU,1051
VICENTE ANTONIO,1051
JOAQUIN ANTONIO,1048
RESTITUTO,1047
HECTOR MANUEL,1046
KENNETH,1046
ORENCIO,1045
ALFONSO MANUEL,1044
JOSE OSCAR,1044
DANEL,1043
DAVID ANTONIO,1043
RAFAEL CARLOS,1040
SAMI,1040
FRANCO,1039
BLAI,1038
JOSEBA ANDONI,1037
MANUEL ANDRES,1036
JOSE ARTURO,1033
JOSE AURELIO,1033
OTMAN,1032
GRACIANO,1028
DOMINGO ANTONIO,1027
QUIM,1020
REDOUAN,1019
JAIME JOSE,1018
ENRIQUE JESUS,1013
MARCELIANO,1013
DANIEL ANTONIO,1011
FILIBERTO,1006
MAXIM,1006
FRANCISCO ALEJANDRO,1003
SERHIY,1002
ISSAM,1001
YONATAN,999
FELIX ANGEL,996
NAUZET,994
ANIOL,993
CARLOS ALFONSO,991
FELIX JOSE,989
PETRICA,989
OSCAR DAVID,986
SEVERO,986
VALERIO,986
EDUARDO JAVIER,984
HAKIM,982
JHONATAN,982
JUAN EDUARDO,981
CARLOS ARTURO,979
MIGUEL ALEJANDRO,979
ALFREDO JOSE,978
JUAN CRISTOBAL,978
FERNANDO MARIA,977
SAMBA,975
VICENTE MIGUEL,975
IVAN JOSE,974
RENATO,974
ALVARO JESUS,970
XAVI,970
RAFAEL LUIS,968
ANASS,967
PIO,967
HASSANE,966
BRAYAN,965
MODOU,964
FRANCISCO ENRIQUE,963
POLICARPO,962
ADELINO,961
MILLAN,959
HAFID,958
JESUS DANIEL,958
URTZI,956
ELIO,955
ANGEL ALBERTO,953
EL MUSTAPHA,952
BAKARY,951
CLAUDIU,951
IMRAN,951
NECULAI,951
JORGE DAVID,950
SOUFIAN,950
EDUARDO ANTONIO,946
EUTIMIO,945
PEIO,944
FROILAN,938
JUAN SANTIAGO,938
MBAREK,936
NAIM,936
OSKAR,936
RAMON JESUS,934
VICTOR DANIEL,931
JORGE CARLOS,928
MEHDI,928
CIRO,927
NOUR EDDINE,927
ARON,926
JOAQUIN MARIA,925
JUAN JULIAN,924
MANOLO,924
LUIS GABRIEL,922
JORGE FRANCISCO,920
MAXIMIANO,919
JAVIER ALEJANDRO,918
KHALIL,918
NICOMEDES,918
ABDERRAZAK,917
SILVIO,917
MASSIMO,916
ABDOU,914
CESAR MANUEL,914
JOSE AUGUSTO,914
MUSA,914
JEREMIAS,912
JOSEP RAMON,912
RUSLAN,912
NICUSOR,911
MIGUEL LUIS,910
ALVAR,909
ANTONIO ALBERTO,906
RAMON MANUEL,905
KRZYSZTOF,904
LAMINE,904
MANUEL ALFONSO,902
AMIR,901
GENEROSO,901
EDWARD,900
JORGE DANIEL,899
PEDRO ANDRES,899
ANDREY,898
FERNANDO MIGUEL,898
ADNAN,895
FRANCISCO FERNANDO,895
GERONIMO,895
RAFAEL MARIA,894
ERLANTZ,890
MHAMMED,886
MORAD,884
ANER,883
LUIS GUILLERMO,883
SAAD,881
APOLINAR,879
JOSE NICOLAS,879
ROMEO,879
CRISTOPHER,877
DAMIA,877
