,apellido,frec_pri,frec_seg,freq_rep
14440,MARTINEZ DE ALBENIZ,226,169,0
14492,DE JOSE,225,134,0
14500,DE AZEVEDO,224,300,0
14502,DE CADIZ,224,288,15
14527,VILLAR DEL SAZ,224,188,7
14531,DE LA GUERRA,224,184,0
14538,ORTIZ DE GUINEA,224,144,0
14567,DE LOS DOLORES,223,238,0
14599,EL HADDOUTI,223,28,0
14602,EL BOUZIANI,223,21,6
14617,DE LA HABA,222,244,0
14623,DE LA VIÑA,222,230,0
14636,SAINZ DE BARANDA,222,190,0
14666,DEL AMA,221,242,0
14676,GARCIA DEL CASTILLO,221,202,0
14690,MARTINEZ DE SAN VICENTE,221,172,0
14695,MALO DE MOLINA,221,138,0
14699,EL GHARBAOUI,221,44,0
14792,DE PASCUAL,219,157,0
14798,EL HANI,219,9,0
14805,DE MOURA,218,275,0
14806,DE ORO,218,275,0
14840,DE UÑA,218,163,0
14843,DE VRIES,218,53,0
14846,EL OTMANI,218,42,0
14847,EL IMRANI,218,40,0
14956,DEL CABO,215,241,0
14994,SAENZ DE SANTA MARIA,215,114,0
15027,DIAZ DE GUEREÑU,214,204,0
15035,SANZ DE GALDEANO,214,194,0
15051,MARTINEZ DE MORENTIN,214,155,0
15062,EL YOUSSFI,214,44,0
15066,DE MOLINA,213,310,0
15106,RUIZ DE GALARRETA,213,171,0
15130,GARCIA DE LEON,212,226,0
15143,DEL HORNO,212,191,0
15207,OCHOA DE ERIBE,211,164,7
15209,DEL OSO,211,154,0
15210,GARCIA DE ANDOIN,211,153,0
15258,EL HARTI,210,51,0
15273,MARTINEZ DE ANTOÑANA,209,241,6
15309,DEL BUEY,209,143,0
15346,DE LA HUERTA,208,201,0
15358,LOPEZ DE DICASTILLO,208,168,0
15366,DE ALVARO,208,140,0
15381,DE LA CONCHA,207,232,0
15393,SAN LORENZO,207,215,0
15431,DE LA OSADA,206,251,0
15463,GOMEZ DE SALAZAR,206,113,0
15572,EL HAMDOUNI,204,33,0
15586,DE LA PIEDRA,203,227,0
15629,DE LA GRANJA,202,242,0
15643,DEL VAS,202,198,0
15672,EL BOUZIDI,202,48,0
15684,DEL TIO,201,228,0
15699,DE LA SOTA,201,197,0
15713,FERNANDEZ DE LA PUEBLA,201,161,0
15715,RUIZ DE VELASCO,201,154,0
15730,DE SOSA,200,252,0
15731,LOPEZ DE LETONA,200,247,0
15775,DE LUCIO,200,148,0
15782,EL MASSOUDI,200,30,0
15787,EL KHAYATI,200,18,0
15819,DE LA JARA,199,178,0
15823,DEL SER,199,173,0
15833,RAFAEL DE LA CRUZ,199,157,0
15844,EL KHALIFI,199,70,20
15881,SAENZ DE MIERA,198,144,0
15889,EL AHMADI,198,35,0
15892,EL GHARBI,198,27,0
15895,EL MAJJAOUI,198,17,10
15928,DEL LLANO,197,180,0
15952,EL BAZ,197,38,0
15972,GARCIA DE QUIROS,196,180,0
15974,MONTERO DE ESPINOSA,196,176,0
15977,LOPEZ DE GUEREÑU,196,173,0
15995,EL KHOULATI,196,21,0
16023,PEREZ DE LA LASTRA,195,196,15
16029,LOPEZ DE PABLO,195,176,0
16039,LOPEZ DE ALDA,195,152,0
16085,DE LA MUELA,194,192,0
16088,DA MOTA,194,183,0
16089,DEL CARPIO,194,183,0
16100,FERNANDEZ DE LARRINOA,194,159,0
16103,DE LA PLATA,194,148,0
16120,VAN DIJK,194,21,0
16183,DE DOMPABLO,193,131,0
16192,EL HASSOUNI,193,23,0
16226,DO ROSARIO,192,176,6
16237,DE SEBASTIAN,192,128,0
16251,EL HAJI,192,18,0
16321,VAN DEN BERG,191,35,0
16358,DE LA SEN,190,182,0
16359,FERNANDEZ DE MERA,190,178,0
16372,DE RUS,190,150,0
16414,GRANO DE ORO,189,199,6
16440,FERNANDEZ DE CASTRO,189,159,0
16443,GARCIA DE CASTRO,189,151,0
16462,EL ALLAM,189,23,0
16478,DE AGUEDA,188,205,0
16514,RUIZ DE APODACA,188,119,0
16515,DE ROSA,188,112,0
16569,RUIZ DE LA TORRE,187,139,0
16587,DIEZ DE ULZURRUN,186,204,0
16612,DE LA QUINTANA,186,161,0
16631,EL HABTI,186,45,5
16632,EL KHALDI,186,24,0
16650,MARTIN DEL CAMPO,185,192,0
16680,EL MAAROUFI,185,12,0
16708,DE LA MUÑOZA,184,175,8
16716,FERNANDEZ DE VELASCO,184,163,0
16732,RUIZ DE LEON,184,112,0
16738,EL GHZAOUI,184,34,0
16789,MARTINEZ DE ILARDUYA,183,145,0
16800,EL BAHRI,183,32,0
16803,EL MAJDOUBI,183,24,0
16894,PEREZ DE VILLAR,181,165,0
16900,SAN MATEO,181,150,0
16984,FERNANDEZ DE SEVILLA,180,134,0
16990,RUIZ DEL PORTAL,180,87,0
16998,EL BARAKA,180,23,0
17018,DE VELASCO,179,210,0
17020,LA O,179,206,0
17051,DE EUSEBIO,179,156,0
17074,DE ALFONSO,179,76,0
17079,EL YOUNOUSSI,179,40,0
17122,DEL RIVERO,178,166,0
17131,RUIZ DE GOPEGUI,178,150,0
17186,DE MADARIAGA,177,167,0
17190,SAN ISIDRO,177,164,0
17210,ORTIZ DE GALISTEO,177,146,0
17226,EL MOUSSATI,177,59,0
17230,EL GHALBZOURI,177,23,0
17266,PEREZ DE HEREDIA,176,184,0
17284,ALVAREZ DE ARCAYA,176,157,0
17296,RUIZ DE VALDIVIA,176,132,0
17311,EL HARCHI,176,22,0
17346,DE AZA,175,169,0
17363,DE SAN ANTONIO,175,147,0
17382,EL AZZAOUI,175,33,0
17393,DE MORAIS,174,240,0
17416,MARTINEZ DE LAHIDALGA,174,174,0
17451,PEREZ DE LOS COBOS,174,122,0
17453,MUÑOZ DE MORALES,174,119,0
17459,EL OUTMANI,174,58,0
17468,EL ADDOUTI,174,20,0
17525,GARCIA DEL POZO,173,145,0
17548,EL HOUARI,173,55,0
17556,EL KHATIB,173,24,7
17558,EL ATMANI,173,21,0
17580,DE LA GANDARA,172,183,0
17603,DEL PICO,172,129,0
17606,MARTIN DE LA SIERRA,172,119,5
17622,EL BANNOUDI,172,19,0
17624,EL FAKIRI,172,18,0
17661,ORTIZ DE ELGUEA,171,150,6
17678,FERNANDEZ DE LARREA,171,124,0
17705,DE LA MERCED,170,205,0
17744,GOMEZ DE AGUERO,170,147,0
17754,GARCIA DE EULATE,170,97,13
17772,DEL PILAR,169,242,0
17840,EL HANNACH,169,26,7
17843,EL HABCHI,169,19,0
17844,BEN HADDOU,169,18,0
17852,DE ASIS,168,210,0
17868,ORTIZ DE PINEDO,168,180,0
17916,BEN ABDELLAH,168,27,0
17938,DE LA PRIETA,167,182,9
18003,DE GANZO,166,228,0
18009,DE MAGALHAES,166,198,0
18068,EL KADAOUI,166,40,5
18096,DEL RAMO,165,179,0
18124,DE OSES,165,151,0
18127,MARTINEZ DE MARIGORTA,165,147,0
18154,EL HAJJIOUI,165,20,6
18229,DE TERESA,164,88,0
18233,EL BALI,164,40,0
18268,DEL NUEVO,163,154,0
18286,DE LA PORTILLA,163,133,0
18296,EL FASSI,163,57,0
18299,EL ARBAOUI,163,30,0
18410,IBAÑEZ DE GARAYO,161,207,0
18458,FERNANDEZ DE TROCONIZ,161,124,0
18479,DE LA VIEJA,160,187,0
18489,PEREZ DE GUZMAN,160,167,0
18510,LOPEZ DE HEREDIA,160,144,0
18543,PEREZ DE AYALA,160,91,0
18546,EL HACHMI,160,46,0
18576,LOPEZ DE HARO,159,184,0
18593,GOMEZ DE LAS HERAS,159,146,0
